month,VTI,TLT,IEF,DBC,GLD
2010-01,40.750072479248047,56.820720672607422,62.221538543701172,19.182979583740234,105.95999908447266
2010-02,42.151901245117188,56.626113891601562,62.428020477294922,19.977689743041992,109.43000030517578
2010-03,44.847843170166016,55.46112060546875,61.768215179443359,19.88469123840332,108.94999694824219
2010-04,45.826213836669922,57.303432464599609,62.789188385009766,20.662494659423828,115.36000061035156
2010-05,42.213714599609375,60.230712890625,64.630859375,18.565807342529297,118.87999725341797
2010-06,39.748226165771484,63.7227783203125,66.600944519042969,18.236089706420898,121.68000030517578
2010-07,42.538764953613281,63.119739532470703,67.206794738769531,19.35206413269043,115.48999786376953
2010-08,40.534694671630859,68.416053771972656,69.462265014648438,18.768716812133789,122.08000183105469
2010-09,44.37078857421875,66.691726684570312,69.460121154785156,20.383501052856445,127.91000366210938
2010-10,46.157180786132812,63.711051940917969,69.45526123046875,21.288120269775391,132.6199951171875
2010-11,46.392829895019531,62.634803771972656,68.831443786621094,21.195121765136719,135.41999816894531
2010-12,49.621475219726562,60.317886352539062,66.4698486328125,23.291805267333984,138.72000122070312
2011-01,50.637920379638672,58.45941162109375,66.455711364746094,24.120334625244141,129.8699951171875
2011-02,52.510269165039062,59.424098968505859,66.317207336425781,25.12640380859375,137.66000366210938
2011-03,52.730033874511719,59.441524505615234,66.214691162109375,25.794300079345703,139.86000061035156
2011-04,54.257213592529297,60.831920623779297,67.433845520019531,26.969459533691406,152.3699951171875
2011-05,53.681671142578125,62.914108276367188,69.123466491699219,25.574487686157227,149.63999938964844
2011-06,52.715610504150391,61.452533721923828,68.774856567382812,24.483871459960938,146
2011-07,51.521018981933594,64.165382385253906,70.954643249511719,25.599849700927734,158.28999328613281
2011-08,48.384284973144531,70.368598937988281,74.255081176757812,25.498397827148438,177.72000122070312
2011-09,44.720645904541016,79.661628723144531,75.916107177734375,21.770017623901367,158.05999755859375
2011-10,49.803230285644531,76.6112060546875,74.939483642578125,23.435529708862305,167.33999633789062
2011-11,49.617282867431641,78.135040283203125,75.374038696289062,23.367895126342773,170.1300048828125
2011-12,50.102085113525391,80.82672119140625,76.872222900390625,22.691545486450195,151.99000549316406
2012-01,52.642253875732422,80.560005187988281,77.534858703613281,23.528528213500977,169.30999755859375
2012-02,54.862937927246094,78.467857360839844,76.682060241699219,24.788230895996094,164.28999328613281
2012-03,56.545993804931641,75.143959045410156,75.461959838867188,24.348604202270508,162.1199951171875
2012-04,56.186031341552734,78.776580810546875,77.355300903320312,24.018880844116211,161.8800048828125
2012-05,52.688087463378906,85.88653564453125,79.575080871582031,21.338846206665039,151.6199951171875
2012-06,54.819377899169922,84.445121765136719,79.245391845703125,21.770017623901367,155.19000244140625
2012-07,55.299148559570312,87.66864013671875,80.355690002441406,23.038173675537109,156.49000549316406
2012-08,56.793510437011719,86.512397766113281,80.261505126953125,24.34014892578125,164.22000122070312
2012-09,58.208431243896484,84.321243286132812,79.982063293457031,24.247148513793945,171.88999938964844
2012-10,57.157279968261719,83.913101196289062,79.665191650390625,23.300260543823242,166.83000183105469
2012-11,57.599872589111328,84.88580322265625,80.445243835449219,23.756795883178711,166.05000305175781
2012-12,58.344524383544922,82.774147033691406,79.68878173828125,23.486257553100586,162.02000427246094
2013-01,61.505428314208984,80.137504577636719,78.658309936523438,24.069608688354492,161.19999694824219
2013-02,62.293621063232422,81.130134582519531,79.549118041992188,22.936721801757812,153
2013-03,64.753303527832031,80.789909362792969,79.777236938476562,23.088903427124023,154.44999694824219
2013-04,65.793083190917969,84.574798583984375,80.99407958984375,22.209646224975586,142.77000427246094
2013-05,67.400711059570312,78.856719970703125,78.479225158691406,21.863016128540039,133.91999816894531
2013-06,66.432334899902344,76.277091979980469,76.48101806640625,21.245847702026367,119.11000061035156
2013-07,70.249382019042969,74.554756164550781,76.211257934570312,21.922197341918945,127.95999908447266
2013-08,68.119850158691406,73.555450439453125,75.127128601074219,22.53936767578125,134.6199951171875
2013-09,70.774604797363281,74.034881591796875,76.51416015625,21.778472900390625,128.17999267578125
2013-10,73.794502258300781,75.093925476074219,77.109260559082031,21.770017623901367,127.73999786376953
2013-11,75.788955688476562,73.063850402832031,76.433517456054688,21.567113876342773,120.69999694824219
2013-12,77.860641479492188,71.697860717773438,74.835594177246094,21.693929672241211,116.12000274658203
2014-01,75.39300537109375,76.216796875,77.128028869628906,21.034488677978516,120.08999633789062
2014-02,79.06201171875,76.616233825683594,77.403709411621094,22.091283798217773,127.62000274658203
2014-03,79.4647216796875,77.177162170410156,76.969429016113281,22.082832336425781,123.61000061035156
2014-04,79.513633728027344,78.794212341308594,77.55303955078125,22.328006744384766,124.22000122070312
2014-05,81.184959411621094,81.118293762207031,78.968765258789062,22.006738662719727,120.43000030517578
2014-06,83.312965393066406,80.914405822753906,78.797561645507812,22.471729278564453,128.03999328613281
2014-07,81.651145935058594,81.451812744140625,78.623802185058594,21.406478881835938,123.38999938964844
2014-08,85.040321350097656,85.299385070800781,80.102134704589844,21.161304473876953,123.86000061035156
2014-09,83.257308959960938,83.49755859375,79.261489868164062,19.631059646606445,116.20999908447266
2014-10,85.54351806640625,85.851058959960938,80.479217529296875,18.870166778564453,112.66000366210938
2014-11,87.665252685546875,88.398590087890625,81.516258239746094,17.263837814331055,112.11000061035156
2014-12,87.631683349609375,91.272682189941406,81.621795654296875,15.598324775695801,113.58000183105469
2015-01,85.234207153320312,100.23181915283203,85.133384704589844,14.710612297058105,123.44999694824219
2015-02,90.128349304199219,94.079254150390625,83.029098510742188,15.361599922180176,116.16000366210938
2015-03,89.080245971679688,95.106803894042969,83.739845275878906,14.431620597839355,113.66000366210938
2015-04,89.628440856933594,91.849205017089844,83.209831237792969,15.463053703308105,113.47000122070312
2015-05,90.791282653808594,89.670082092285156,82.863372802734375,14.972698211669922,114.09999847412109
2015-06,89.2706298828125,86.018814086914062,81.511924743652344,15.217876434326172,112.37000274658203
2015-07,90.788772583007812,89.929214477539062,82.749664306640625,13.298733711242676,104.93000030517578
2015-08,85.258392333984375,89.309120178222656,82.815010070800781,13.26491641998291,108.81999969482422
2015-09,82.766304016113281,91.065765380859375,84.122848510742188,12.808379173278809,106.86000061035156
2015-10,89.31414794921875,90.693458557128906,83.587028503417969,12.850651741027832,109.30000305175781
2015-11,89.850723266601562,89.906532287597656,83.229560852050781,11.996759414672852,101.91999816894531
2015-12,87.942771911621094,89.639320373535156,82.852485656738281,11.295045852661133,101.45999908447266
2016-01,82.909080505371094,94.634994506835938,85.614547729492188,10.804692268371582,106.94999694824219
2016-02,82.900619506835938,97.555397033691406,86.886749267578125,10.779330253601074,118.63999938964844
2016-03,88.794784545898438,97.464370727539062,86.829292297363281,11.235864639282227,117.63999938964844
2016-04,89.379302978515625,96.746528625488281,86.693756103515625,12.326479911804199,123.65000152587891
2016-05,90.929512023925781,97.525703430175781,86.607704162597656,12.436387062072754,116.05999755859375
2016-06,91.17816162109375,104.28831481933594,89.28179931640625,12.977469444274902,126.47000122070312
2016-07,94.80279541015625,106.48102569580078,89.50189208984375,12.072848320007324,128.97999572753906
2016-08,94.998512268066406,105.40185546875,88.596649169921875,12.165846824645996,124.77999877929688
2016-09,95.187660217285156,103.81198883056641,88.806961059570312,12.690017700195312,125.63999938964844
2016-10,93.101432800292969,99.264335632324219,87.479621887207031,12.647746086120605,121.94000244140625
2016-11,97.282402038574219,91.111007690429688,83.781631469726562,12.85910701751709,111.75
2016-12,99.215095520019531,90.6895751953125,83.682357788085938,13.391732215881348,109.61000061035156
2017-01,101.05624389648438,91.428001403808594,83.865982055664062,13.315641403198242,115.55000305175781
2017-02,104.79013061523438,92.876777648925781,84.472892761230469,13.290278434753418,119.23000335693359
2017-03,104.84801483154297,92.268325805664062,84.540885925292969,12.85910701751709,118.72000122070312
2017-04,105.96286010742188,93.719856262207031,85.478279113769531,12.512477874755859,120.76999664306641
2017-05,107.03449249267578,95.489181518554688,86.184944152832031,12.334934234619141,120.62000274658203
2017-06,108.04842376708984,96.245353698730469,85.745849609375,12.216572761535645,118.01999664306641
2017-07,110.08003997802734,95.611747741699219,86.067230224609375,12.715380668640137,120.75
2017-08,110.24501800537109,98.870872497558594,87.321708679199219,12.766108512878418,125.81999969482422
2017-09,112.93507385253906,96.574172973632812,86.06292724609375,13.019740104675293,121.58000183105469
2017-10,115.38524627685547,96.536933898925781,85.900260925292969,13.535455703735352,120.66999816894531
2017-11,118.88174438476562,97.254356384277344,85.660400390625,13.662270545959473,121.09999847412109
2017-12,120.26203155517578,99.017196655273438,85.818679809570312,14.042718887329102,123.65000152587891
2018-01,126.55327606201172,95.793632507324219,83.973403930664062,14.456982612609863,127.65000152587891
2018-02,121.79541015625,92.880126953125,83.190116882324219,14.034266471862793,125
2018-03,119.40436553955078,95.536186218261719,84.151588439941406,14.355530738830566,125.79000091552734
2018-04,119.94107055664062,93.54132080078125,83.077339172363281,14.845884323120117,124.58999633789062
2018-05,123.20506286621094,95.416252136230469,83.896598815917969,15.243241310119629,123.09999847412109
2018-06,124.07188415527344,96.032402038574219,84.062255859375,14.947336196899414,118.65000152587891
2018-07,128.18907165527344,94.652534484863281,83.61859130859375,14.583797454833984,115.98999786376953
2018-08,132.58900451660156,95.894386291503906,84.466506958007812,14.693703651428223,113.51000213623047
2018-09,132.8489990234375,93.147720336914062,83.448623657226562,15.192513465881348,112.76000213623047
2018-10,123.00408935546875,90.417984008789062,83.195716857910156,14.338621139526367,115.15000152587891
2018-11,125.48085784912109,92.033935546875,84.302299499511719,12.926740646362305,115.54000091552734
2018-12,113.96654510498047,97.421173095703125,86.666343688964844,12.409509658813477,121.25
2019-01,123.69963836669922,97.789970397949219,87.231918334960938,13.291621208190918,124.75
2019-02,128.10189819335938,96.443992614746094,86.773536682128906,13.66844367980957,123.98999786376953
2019-03,129.91668701171875,101.81753540039062,89.077484130859375,13.617059707641602,122.01000213623047
2019-04,135.01602172851562,99.790237426757812,88.615585327148438,13.779779434204102,121.19999694824219
2019-05,126.30767822265625,106.61513519287109,91.317131042480469,12.957616806030273,123.33000183105469
2019-06,135.24778747558594,107.62810516357422,92.428550720214844,13.471467971801758,133.19999694824219
2019-07,137.15818786621094,107.90419006347656,92.463912963867188,13.317313194274902,133.21000671386719
2019-08,134.3016357421875,119.82662200927734,96.117767333984375,12.700690269470215,143.75
2019-09,136.6912841796875,116.61544036865234,94.977752685546875,12.880537986755371,138.8699951171875
2019-10,139.56996154785156,115.31721496582031,95.156211853027344,13.128899574279785,142.42999267578125
2019-11,144.8565673828125,114.84776306152344,94.502265930175781,13.111773490905762,137.86000061035156
2019-12,148.91854858398438,111.17545318603516,93.625244140625,13.878700256347656,142.89999389648438
2020-01,148.8275146484375,119.72621154785156,96.870063781738281,12.686611175537109,149.33000183105469
2020-02,136.92277526855469,127.65982055664062,99.739120483398438,11.842577934265137,148.3800048828125
2020-03,117.91009521484375,135.80029296875,103.45206451416016,9.7890529632568359,148.05000305175781
2020-04,133.39544677734375,137.45564270019531,103.73680877685547,9.4845027923583984,158.80000305175781
2020-05,140.59393310546875,135.0338134765625,104.07652282714844,10.250224113464355,162.91000366210938
2020-06,143.82498168945312,135.4884033203125,104.12097930908203,10.711399078369141,167.3699951171875
2020-07,152.0853271484375,141.49740600585938,105.01029205322266,11.259584426879883,185.42999267578125
2020-08,162.89077758789062,134.35662841796875,103.99187469482422,11.78166675567627,184.83000183105469
2020-09,157.12838745117188,135.3958740234375,104.33268737792969,11.364002227783203,177.1199951171875
2020-10,154.06535339355469,130.81236267089844,102.89209747314453,11.007245063781738,176.19999694824219
2020-11,172.24981689453125,132.98895263671875,103.24025726318359,12.129722595214844,166.66999816894531
2020-12,180.30479431152344,131.35635375976562,102.99406433105469,12.791028022766113,178.36000061035156
2021-01,179.70271301269531,126.58444976806641,101.86924743652344,13.217394828796387,172.61000061035156
2021-02,185.3441162109375,119.32744598388672,99.461769104003906,14.557407379150391,161.80999755859375
2021-03,192.10539245605469,113.06842041015625,97.088897705078125,14.452991485595703,159.96000671386719
2021-04,201.78080749511719,115.88955688476562,98.060966491699219,15.584172248840332,165.66000366210938
2021-05,202.70094299316406,115.89208984375,98.477622985839844,16.184566497802734,178.3800048828125
2021-06,207.73196411132812,121.01348114013672,99.484626770019531,16.750156402587891,165.6300048828125
2021-07,211.33993530273438,125.51113128662109,101.46460723876953,16.967691421508789,169.82000732421875
2021-08,217.381103515625,125.08420562744141,101.06437683105469,16.689247131347656,169.69000244140625
2021-09,207.67689514160156,121.44793701171875,99.450325012207031,17.559385299682617,164.22000122070312
2021-10,221.56503295898438,124.44168090820312,99.009803771972656,18.577447891235352,166.64999389648438
2021-11,218.32913208007812,127.89057922363281,100.09112548828125,16.950286865234375,165.5
2021-12,226.61045837402344,125.31516265869141,99.566612243652344,18.081466674804688,170.96000671386719
2022-01,212.8790283203125,120.41035461425781,97.462699890136719,19.508493423461914,168.08999633789062
2022-02,207.58544921875,118.44407653808594,97.166351318359375,20.770195007324219,178.3800048828125
2022-03,214.35260009765625,111.99552154541016,93.220474243164062,22.67579460144043,180.64999389648438
2022-04,194.77870178222656,101.44122314453125,89.278900146484375,23.954898834228516,176.91000366210938
2022-05,194.28910827636719,99.155448913574219,89.830963134765625,25.059974670410156,171.13999938964844
2022-06,178.29664611816406,97.891616821289062,89.055305480957031,23.180475234985352,168.46000671386719
2022-07,194.96177673339844,100.27143096923828,91.692695617675781,22.719303131103516,164.10000610351562
2022-08,187.69264221191406,95.705947875976562,88.158973693847656,22.379949569702148,159.27000427246094
2022-09,170.36769104003906,87.824462890625,83.984695434570312,20.805000305175781,154.66999816894531
2022-10,184.18923950195312,82.586235046386719,82.763519287109375,21.857866287231445,151.91000366210938
2022-11,193.71052551269531,88.492012023925781,85.753173828125,22.179815292358398,164.80999755859375
2022-12,182.36830139160156,86.173515319824219,84.477096557617188,21.578407287597656,169.63999938964844
2023-01,194.99736022949219,92.760307312011719,87.5023193359375,21.770994186401367,179.41000366210938
2023-02,190.31391906738281,88.260917663574219,84.64031982421875,20.799308776855469,169.77999877929688
2023-03,195.4659423828125,92.532157897949219,87.789840698242188,20.781801223754883,183.22000122070312
2023-04,197.5728759765625,92.845252990722656,88.505126953125,20.624229431152344,184.80000305175781
2023-05,198.4156494140625,90.045692443847656,87.23211669921875,19.302389144897461,182.32000732421875
2023-06,211.76644897460938,90.241172790527344,86.137123107910156,19.871393203735352,178.27000427246094
2023-07,219.52455139160156,87.945205688476562,85.575820922851562,21.604669570922852,182.35000610351562
2023-08,215.28501892089844,85.181900024414062,84.9503173828125,21.525882720947266,180.02000427246094
2023-09,204.94898986816406,78.408973693847656,82.283889770507812,21.84977912902832,171.44999694824219
2023-10,199.52638244628906,74.125373840332031,80.697669982910156,21.455852508544922,184.08999633789062
2023-11,218.3125,81.481460571289062,84.373023986816406,20.930618286132812,188.75
2023-12,229.86972045898438,88.558753967285156,87.555816650390625,20.241731643676758,191.16999816894531
2024-01,232.43757629394531,86.57049560546875,87.619400024414062,20.50806999206543,188.44999694824219
2024-02,244.75375366210938,84.620742797851562,85.794631958007812,20.195810317993164,189.30999755859375
2024-03,252.73200988769531,85.283203125,86.423660278320312,21.095849990844727,205.72000122070312
2024-04,241.75338745117188,79.777809143066406,83.718772888183594,21.435661315917969,211.8699951171875
2024-05,253.25706481933594,82.080955505371094,85.225868225097656,21.371374130249023,215.30000305175781
